	mir	dis	cau
46	hsa-let-7i	Colonic Neoplasms	1
47	hsa-let-7i	Inflammation	1
48	hsa-let-7i	Lung Neoplasms	1
49	hsa-let-7i	Retinal Degeneration	1
50	hsa-mir-1	Cardiomegaly	1
51	hsa-mir-1	Chordoma	1
52	hsa-mir-1	Colorectal Neoplasms	1
53	hsa-mir-1	Diabetes Mellitus	1
54	hsa-mir-1	Endometrial Neoplasms	1
55	hsa-mir-1	Heart Diseases	1
56	hsa-mir-1	Heart Failure	1
57	hsa-mir-1	Myocardial Infarction	1
58	hsa-mir-1	Osteosarcoma	1
59	hsa-mir-1	Prostatic Neoplasms	1
60	hsa-mir-1	Stomach Neoplasms	1
61	hsa-mir-1	Urinary Bladder Neoplasms	1
62	hsa-mir-100	Breast Neoplasms	1
63	hsa-mir-100	Esophageal Neoplasms	1
64	hsa-mir-100	Glioblastoma	1
65	hsa-mir-100	Lung Neoplasms	1
66	hsa-mir-100	Nasopharyngeal Neoplasms	1
67	hsa-mir-100	Neoplasms	1
68	hsa-mir-100	Osteosarcoma	1
69	hsa-mir-100	Ovarian Neoplasms	1
70	hsa-mir-100	Pancreatic Neoplasms	1
71	hsa-mir-100	Precursor Cell Lymphoblastic Leukemia-Lymphoma	1
72	hsa-mir-100	Prostatic Neoplasms	1
73	hsa-mir-100	Stomach Neoplasms	1
74	hsa-mir-100	Thyroid Neoplasms	1
75	hsa-mir-100	Urinary Bladder Neoplasms	1
76	hsa-mir-101	Atherosclerosis	1
77	hsa-mir-101	Breast Neoplasms	1
78	hsa-mir-101	Cholangiocarcinoma	1
79	hsa-mir-101	Endometrial Neoplasms	1
80	hsa-mir-101	Esophageal Neoplasms	1
81	hsa-mir-101	Glioblastoma	1
82	hsa-mir-101	Liver Cirrhosis	1
83	hsa-mir-101	Lung Neoplasms	1
84	hsa-mir-101	Osteoarthritis	1
85	hsa-mir-101	Osteosarcoma	1
86	hsa-mir-101	Retinoblastoma	1
87	hsa-mir-101	Stomach Neoplasms	1
88	hsa-mir-101	Uterine Cervical Neoplasms	1
89	hsa-mir-103a	Stomach Neoplasms	1
90	hsa-mir-105	Glioma	1
91	hsa-mir-105	Lung Neoplasms	1
92	hsa-mir-106a	Breast Neoplasms	1
93	hsa-mir-106a	Colorectal Neoplasms	1
94	hsa-mir-106a	Diabetic Retinopathy	1
95	hsa-mir-106a	Esophageal Neoplasms	1
96	hsa-mir-106a	Kidney Neoplasms	1
97	hsa-mir-106a	Lung Neoplasms	1
98	hsa-mir-106a	Osteosarcoma	1
99	hsa-mir-106a	Prostatic Neoplasms	1
100	hsa-mir-106a	Stomach Neoplasms	1
101	hsa-mir-106a	Urinary Bladder Neoplasms	1
102	hsa-mir-106b	Atherosclerosis	1
103	hsa-mir-106b	Atrial Fibrillation	1
104	hsa-mir-106b	Barrett Esophagus	1
105	hsa-mir-106b	Breast Neoplasms	1
106	hsa-mir-106b	Cholesteatoma	1
107	hsa-mir-106b	Gastrointestinal Neoplasms	1
108	hsa-mir-106b	Glioma	1
109	hsa-mir-106b	Laryngeal Neoplasms	1
110	hsa-mir-106b	Leiomyoma	1
111	hsa-mir-106b	Pre-Eclampsia	1
112	hsa-mir-106b	Prostatic Neoplasms	1
113	hsa-mir-106b	Retinoblastoma	1
114	hsa-mir-106b	Thyroid Neoplasms	1
115	hsa-mir-107	Breast Neoplasms	1
116	hsa-mir-107	Colorectal Neoplasms	1
117	hsa-mir-107	Gastrointestinal Neoplasms	1
118	hsa-mir-107	Glioma	1
119	hsa-mir-107	Lung Neoplasms	1
120	hsa-mir-107	Myocardial Infarction	1
121	hsa-mir-107	Neoplasms	1
122	hsa-mir-107	Pituitary Neoplasms	1
123	hsa-mir-107	Stroke	1
124	hsa-mir-107	Urinary Bladder Neoplasms	1
125	hsa-mir-107	Uterine Cervical Neoplasms	1
126	hsa-mir-10a	Atherosclerosis	1
127	hsa-mir-10a	Glioma	1
128	hsa-mir-10a	Neoplasms	1
129	hsa-mir-10a	Pancreatic Neoplasms	1
130	hsa-mir-10a	Stomach Neoplasms	1
131	hsa-mir-10b	Atherosclerosis	1
132	hsa-mir-10b	Breast Neoplasms	1
133	hsa-mir-10b	Colonic Neoplasms	1
134	hsa-mir-10b	Glioblastoma	1
135	hsa-mir-10b	Lung Neoplasms	1
136	hsa-mir-10b	Myocardial Infarction	1
137	hsa-mir-10b	Nasopharyngeal Neoplasms	1
138	hsa-mir-10b	Neoplasms	1
139	hsa-mir-10b	Osteosarcoma	1
140	hsa-mir-10b	Pancreatic Neoplasms	1
141	hsa-mir-10b	Stomach Neoplasms	1
142	hsa-mir-10b	Urinary Bladder Neoplasms	1
143	hsa-mir-1202	Glioma	1
144	hsa-mir-1207	Nasopharyngeal Neoplasms	1
145	hsa-mir-1207	Ovarian Neoplasms	1
146	hsa-mir-1207	Prostatic Neoplasms	1
147	hsa-mir-1207	Stomach Neoplasms	1
148	hsa-mir-122	Cholangiocarcinoma	1
149	hsa-mir-122	Crohn Disease	1
150	hsa-mir-122	Glioma	1
151	hsa-mir-122	Hepatitis B	1
152	hsa-mir-122	Hepatitis C	1
153	hsa-mir-122	Liver Cirrhosis	1
154	hsa-mir-122	Liver Neoplasms	1
155	hsa-mir-122	Sepsis	1
156	hsa-mir-122	Stroke	1
157	hsa-mir-122	Urinary Bladder Neoplasms	1
158	hsa-mir-1228	Breast Neoplasms	1
159	hsa-mir-1228	Stomach Neoplasms	1
160	hsa-mir-1231	Glioma	1
161	hsa-mir-1236	HIV Infections	1
162	hsa-mir-1236	Inflammation	1
163	hsa-mir-1236	Lung Neoplasms	1
164	hsa-mir-124	Breast Neoplasms	1
165	hsa-mir-124	Cardiovascular Diseases	1
166	hsa-mir-124	Endometrial Neoplasms	1
167	hsa-mir-124	Esophageal Neoplasms	1
168	hsa-mir-124	Glioblastoma	1
169	hsa-mir-124	Glioma	1
170	hsa-mir-124	Inflammatory Bowel Diseases	1
171	hsa-mir-124	Liver Neoplasms	1
172	hsa-mir-124	Lung Neoplasms	1
173	hsa-mir-124	Medulloblastoma	1
174	hsa-mir-124	Melanoma	1
175	hsa-mir-124	Osteosarcoma	1
176	hsa-mir-124	Ovarian Neoplasms	1
177	hsa-mir-124	Prostatic Neoplasms	1
178	hsa-mir-124	Retinoblastoma	1
179	hsa-mir-124	Stomach Neoplasms	1
180	hsa-mir-124	Stroke	1
181	hsa-mir-124	Urinary Bladder Neoplasms	1
182	hsa-mir-124	Uterine Cervical Neoplasms	1
183	hsa-mir-1246	Colorectal Neoplasms	1
184	hsa-mir-1246	Uterine Cervical Neoplasms	1
185	hsa-mir-1247	Pancreatic Neoplasms	1
186	hsa-mir-1247	Urinary Bladder Neoplasms	1
187	hsa-mir-124a	Glioma	1
188	hsa-mir-124a	Liver Neoplasms	1
189	hsa-mir-124a	Pancreatic Neoplasms	1
190	hsa-mir-1254	Breast Neoplasms	1
191	hsa-mir-125a	Breast Neoplasms	1
192	hsa-mir-125a	Colonic Neoplasms	1
193	hsa-mir-125a	Glioma	1
194	hsa-mir-125a	Leukemia	1
195	hsa-mir-125a	Lung Neoplasms	1
196	hsa-mir-125a	Myelodysplastic Syndromes	1
197	hsa-mir-125a	Neoplasms	1
198	hsa-mir-125a	Osteosarcoma	1
199	hsa-mir-125a	Ovarian Neoplasms	1
200	hsa-mir-125a	Retinoblastoma	1
201	hsa-mir-125a	Stomach Neoplasms	1
202	hsa-mir-125a	Uterine Cervical Neoplasms	1
203	hsa-mir-125b	Alzheimer Disease	1
204	hsa-mir-125b	Breast Neoplasms	1
205	hsa-mir-125b	Cholangiocarcinoma	1
206	hsa-mir-125b	Diabetic Nephropathies	1
207	hsa-mir-125b	Endomyocardial Fibrosis	1
208	hsa-mir-125b	Heart Diseases	1
209	hsa-mir-125b	Hepatitis B	1
210	hsa-mir-125b	Inflammation	1
211	hsa-mir-125b	Leukemia	1
212	hsa-mir-125b	Liver Neoplasms	1
213	hsa-mir-125b	Medulloblastoma	1
214	hsa-mir-125b	Melanoma	1
215	hsa-mir-125b	Multiple Myeloma	1
216	hsa-mir-125b	Neoplasms	1
217	hsa-mir-125b	Osteoarthritis	1
218	hsa-mir-125b	Osteosarcoma	1
219	hsa-mir-125b	Ovarian Neoplasms	1
220	hsa-mir-125b	Prostatic Neoplasms	1
221	hsa-mir-125b	Retinoblastoma	1
222	hsa-mir-125b	Sepsis	1
223	hsa-mir-125b	Stomach Neoplasms	1
224	hsa-mir-125b	Urinary Bladder Neoplasms	1
225	hsa-mir-126	Asthma	1
226	hsa-mir-126	Atherosclerosis	1
227	hsa-mir-126	Breast Neoplasms	1
228	hsa-mir-126	Colorectal Neoplasms	1
229	hsa-mir-126	Diabetes Mellitus	1
230	hsa-mir-126	Esophageal Neoplasms	1
231	hsa-mir-126	Gastrointestinal Neoplasms	1
232	hsa-mir-126	Heart Diseases	1
233	hsa-mir-126	Liver Cirrhosis	1
234	hsa-mir-126	Myocardial Infarction	1
235	hsa-mir-126	Osteosarcoma	1
236	hsa-mir-126	Pancreatic Neoplasms	1
237	hsa-mir-126	Parkinson Disease	1
238	hsa-mir-126	Precursor Cell Lymphoblastic Leukemia-Lymphoma	1
239	hsa-mir-126	Prostatic Neoplasms	1
240	hsa-mir-126	Spinal Cord Injuries	1
241	hsa-mir-126	Stomach Neoplasms	1
242	hsa-mir-126	Thyroid Neoplasms	1
243	hsa-mir-126	Urinary Bladder Neoplasms	1
244	hsa-mir-127	Breast Neoplasms	1
245	hsa-mir-127	Inflammation	1
246	hsa-mir-127	Neoplasms	1
247	hsa-mir-127	Obesity	1
248	hsa-mir-127	Osteosarcoma	1
249	hsa-mir-1271	Ovarian Neoplasms	1
250	hsa-mir-1271	Pancreatic Neoplasms	1
251	hsa-mir-1271	Prostatic Neoplasms	1
252	hsa-mir-128	Alzheimer Disease	1
253	hsa-mir-128	Colorectal Neoplasms	1
254	hsa-mir-128	Glioblastoma	1
255	hsa-mir-128	Glioma	1
256	hsa-mir-128	Myocardial Reperfusion Injury	1
257	hsa-mir-128	Osteosarcoma	1
258	hsa-mir-128	Stomach Neoplasms	1
259	hsa-mir-129	Colorectal Neoplasms	1
260	hsa-mir-129	Glioblastoma	1
261	hsa-mir-129	Glioma	1
262	hsa-mir-129	Lung Neoplasms	1
263	hsa-mir-129	Medulloblastoma	1
264	hsa-mir-129	Neoplasms	1
265	hsa-mir-129	Neuroblastoma	1
266	hsa-mir-129	Stomach Neoplasms	1
267	hsa-mir-129	Uterine Cervical Neoplasms	1
268	hsa-mir-1296	Colorectal Neoplasms	1
269	hsa-mir-1296	Stomach Neoplasms	1
270	hsa-mir-1297	Colorectal Neoplasms	1
271	hsa-mir-1297	Lung Neoplasms	1
272	hsa-mir-1297	Melanoma	1
273	hsa-mir-1297	Uterine Cervical Neoplasms	1
274	hsa-mir-1301	Prostatic Neoplasms	1
275	hsa-mir-1303	Stomach Neoplasms	1
276	hsa-mir-130a	Breast Neoplasms	1
277	hsa-mir-130a	Colorectal Neoplasms	1
278	hsa-mir-130a	Diabetes Mellitus	1
279	hsa-mir-130a	Heart Diseases	1
280	hsa-mir-130a	Hepatitis B	1
281	hsa-mir-130a	Liver Cirrhosis	1
282	hsa-mir-130a	Neoplasms	1
283	hsa-mir-130a	Osteoarthritis	1
284	hsa-mir-130a	Ovarian Neoplasms	1
285	hsa-mir-130a	Prostatic Neoplasms	1
286	hsa-mir-130a	Stomach Neoplasms	1
287	hsa-mir-130a	Uterine Cervical Neoplasms	1
288	hsa-mir-130b	Breast Neoplasms	1
289	hsa-mir-130b	Endometrial Neoplasms	1
290	hsa-mir-130b	Fragile X Syndrome	1
291	hsa-mir-130b	Lupus Nephritis	1
292	hsa-mir-130b	Ovarian Neoplasms	1
293	hsa-mir-130b	Pancreatic Neoplasms	1
294	hsa-mir-130b	Pulmonary Fibrosis	1
295	hsa-mir-130b	Stomach Neoplasms	1
296	hsa-mir-130b	Urinary Bladder Neoplasms	1
297	hsa-mir-132	Alzheimer Disease	1
298	hsa-mir-132	Breast Neoplasms	1
299	hsa-mir-132	Colonic Neoplasms	1
300	hsa-mir-132	Glioma	1
301	hsa-mir-132	Heart Diseases	1
302	hsa-mir-132	Inflammation	1
303	hsa-mir-132	Ischemia	1
304	hsa-mir-132	Liver Neoplasms	1
305	hsa-mir-132	Lung Neoplasms	1
306	hsa-mir-132	Multiple Sclerosis	1
307	hsa-mir-132	Myocardial Infarction	1
308	hsa-mir-132	Osteosarcoma	1
309	hsa-mir-132	Pancreatic Neoplasms	1
310	hsa-mir-132	Pituitary Neoplasms	1
311	hsa-mir-132	Stomach Neoplasms	1
312	hsa-mir-133a	Asthma	1
313	hsa-mir-133a	Atherosclerosis	1
314	hsa-mir-133a	Breast Neoplasms	1
315	hsa-mir-133a	Cardiomegaly	1
316	hsa-mir-133a	Cardiovascular Diseases	1
317	hsa-mir-133a	Colonic Neoplasms	1
318	hsa-mir-133a	Endometrial Neoplasms	1
319	hsa-mir-133a	Esophageal Neoplasms	1
320	hsa-mir-133a	Head and Neck Neoplasms	1
321	hsa-mir-133a	Heart Diseases	1
322	hsa-mir-133a	Heart Failure	1
323	hsa-mir-133a	Hypertension	1
324	hsa-mir-133a	Hypertrophy	1
325	hsa-mir-133a	Laryngeal Neoplasms	1
326	hsa-mir-133a	Myocardial Infarction	1
327	hsa-mir-133a	Osteosarcoma	1
328	hsa-mir-133a	Ovarian Neoplasms	1
329	hsa-mir-133a	Stomach Neoplasms	1
330	hsa-mir-133a	Urinary Bladder Neoplasms	1
331	hsa-mir-133a	Uterine Cervical Neoplasms	1
332	hsa-mir-133b	Cardiomegaly	1
333	hsa-mir-133b	Colorectal Neoplasms	1
334	hsa-mir-133b	Glioma	1
335	hsa-mir-133b	Liver Neoplasms	1
336	hsa-mir-133b	Lung Neoplasms	1
337	hsa-mir-133b	Ovarian Neoplasms	1
338	hsa-mir-133b	Prostatic Neoplasms	1
339	hsa-mir-133b	Stomach Neoplasms	1
340	hsa-mir-133b	Urinary Bladder Neoplasms	1
341	hsa-mir-134	Atherosclerosis	1
342	hsa-mir-134	Glioblastoma	1
343	hsa-mir-134	Head and Neck Neoplasms	1
344	hsa-mir-134	Liver Cirrhosis	1
345	hsa-mir-134	Lung Neoplasms	1
346	hsa-mir-134	Stomach Neoplasms	1
347	hsa-mir-135a	Atherosclerosis	1
348	hsa-mir-135a	Diabetic Nephropathies	1
349	hsa-mir-135a	Medulloblastoma	1
350	hsa-mir-135a	Ovarian Neoplasms	1
351	hsa-mir-135a	Rectal Neoplasms	1
352	hsa-mir-135a	Uterine Cervical Neoplasms	1
353	hsa-mir-135b	Atherosclerosis	1
354	hsa-mir-135b	Brain Ischemia	1
355	hsa-mir-135b	Breast Neoplasms	1
356	hsa-mir-135b	Colorectal Neoplasms	1
357	hsa-mir-135b	Endometrial Neoplasms	1
358	hsa-mir-135b	Glioblastoma	1
359	hsa-mir-135b	Hypertrophy	1
360	hsa-mir-135b	Lymphoma	1
361	hsa-mir-135b	Medulloblastoma	1
362	hsa-mir-135b	Osteosarcoma	1
363	hsa-mir-136	Stomach Neoplasms	1
364	hsa-mir-137	Astrocytoma	1
365	hsa-mir-137	Colorectal Neoplasms	1
366	hsa-mir-137	Glioblastoma	1
367	hsa-mir-137	Lung Neoplasms	1
368	hsa-mir-137	Melanoma	1
369	hsa-mir-137	Neuroblastoma	1
370	hsa-mir-137	Oligodendroglioma	1
371	hsa-mir-137	Osteosarcoma	1
372	hsa-mir-137	Ovarian Neoplasms	1
373	hsa-mir-138	Brain Ischemia	1
374	hsa-mir-138	Cardiovascular Diseases	1
375	hsa-mir-138	Colorectal Neoplasms	1
376	hsa-mir-138	Coronary Artery Disease	1
377	hsa-mir-138	Glioblastoma	1
378	hsa-mir-138	Kidney Neoplasms	1
379	hsa-mir-138	Laryngeal Neoplasms	1
380	hsa-mir-138	Obesity	1
381	hsa-mir-138	Osteosarcoma	1
382	hsa-mir-138	Ovarian Neoplasms	1
383	hsa-mir-138	Pancreatic Neoplasms	1
384	hsa-mir-138	Periodontal Diseases	1
385	hsa-mir-138	Prostatic Neoplasms	1
386	hsa-mir-138	Psoriasis	1
387	hsa-mir-138	Sepsis	1
388	hsa-mir-138	Urinary Bladder Neoplasms	1
389	hsa-mir-139	Adrenocortical Carcinoma	1
390	hsa-mir-139	Alzheimer Disease	1
391	hsa-mir-139	Glioma	1
392	hsa-mir-139	Lung Neoplasms	1
393	hsa-mir-139	Mouth Neoplasms	1
394	hsa-mir-139	Neoplasms	1
395	hsa-mir-139	Osteoarthritis	1
396	hsa-mir-139	Pancreatic Neoplasms	1
397	hsa-mir-139	Prostatic Neoplasms	1
398	hsa-mir-139	Urinary Bladder Neoplasms	1
399	hsa-mir-139	Uterine Cervical Neoplasms	1
400	hsa-mir-140	Biliary Tract Neoplasms	1
401	hsa-mir-140	Breast Neoplasms	1
402	hsa-mir-140	Cardiovascular Diseases	1
403	hsa-mir-140	Colorectal Neoplasms	1
404	hsa-mir-140	Esophageal Neoplasms	1
405	hsa-mir-140	Glioma	1
406	hsa-mir-140	Gout	1
407	hsa-mir-140	Lung Neoplasms	1
408	hsa-mir-140	Multiple Myeloma	1
409	hsa-mir-140	Osteoarthritis	1
410	hsa-mir-140	Osteosarcoma	1
411	hsa-mir-140	Retinoblastoma	1
412	hsa-mir-140	Stomach Neoplasms	1
413	hsa-mir-140	Uterine Cervical Neoplasms	1
414	hsa-mir-141	Aortic Valve Stenosis	1
415	hsa-mir-141	Glioma	1
416	hsa-mir-141	Hepatitis B	1
417	hsa-mir-141	Neoplasms	1
418	hsa-mir-141	Neuroblastoma	1
419	hsa-mir-141	Pancreatic Neoplasms	1
420	hsa-mir-141	Prostatic Neoplasms	1
421	hsa-mir-141	Stomach Neoplasms	1
422	hsa-mir-142	Atherosclerosis	1
423	hsa-mir-142	Breast Neoplasms	1
424	hsa-mir-142	Inflammation	1
425	hsa-mir-142	Lung Neoplasms	1
426	hsa-mir-142	Neoplasms	1
427	hsa-mir-142	Osteosarcoma	1
428	hsa-mir-142	Ovarian Neoplasms	1
429	hsa-mir-142	Precursor Cell Lymphoblastic Leukemia-Lymphoma	1
430	hsa-mir-142	Stomach Neoplasms	1
431	hsa-mir-142	Uterine Cervical Neoplasms	1
432	hsa-mir-143	Breast Neoplasms	1
433	hsa-mir-143	Colonic Neoplasms	1
434	hsa-mir-143	Colorectal Neoplasms	1
435	hsa-mir-143	Crohn Disease	1
436	hsa-mir-143	Endometrial Neoplasms	1
437	hsa-mir-143	Glioblastoma	1
438	hsa-mir-143	Glioma	1
439	hsa-mir-143	Hepatoblastoma	1
440	hsa-mir-143	Inflammation	1
441	hsa-mir-143	Lung Neoplasms	1
442	hsa-mir-143	Lymphoma	1
443	hsa-mir-143	Myocardial Infarction	1
444	hsa-mir-143	Neoplasms	1
445	hsa-mir-143	Neuroblastoma	1
446	hsa-mir-143	Osteosarcoma	1
447	hsa-mir-143	Pancreatic Neoplasms	1
448	hsa-mir-143	Stomach Neoplasms	1
449	hsa-mir-143	Urinary Bladder Neoplasms	1
450	hsa-mir-143	Uterine Cervical Neoplasms	1
451	hsa-mir-143	Wounds and Injuries	1
452	hsa-mir-144	Cholangiocarcinoma	1
453	hsa-mir-144	Colorectal Neoplasms	1
454	hsa-mir-144	Lung Neoplasms	1
455	hsa-mir-144	Myocardial Ischemia	1
456	hsa-mir-144	Nasopharyngeal Neoplasms	1
457	hsa-mir-144	Neoplasms	1
458	hsa-mir-144	Osteoporosis	1
459	hsa-mir-144	Pre-Eclampsia	1
460	hsa-mir-144	Stomach Neoplasms	1
461	hsa-mir-144	Thyroid Neoplasms	1
462	hsa-mir-144	Urinary Bladder Neoplasms	1
463	hsa-mir-145	Atherosclerosis	1
464	hsa-mir-145	Breast Neoplasms	1
465	hsa-mir-145	Cholangiocarcinoma	1
466	hsa-mir-145	Colonic Neoplasms	1
467	hsa-mir-145	Colorectal Neoplasms	1
468	hsa-mir-145	Endometrial Neoplasms	1
469	hsa-mir-145	Endometriosis	1
470	hsa-mir-145	Glioblastoma	1
471	hsa-mir-145	Head and Neck Neoplasms	1
472	hsa-mir-145	Melanoma	1
473	hsa-mir-145	Myelodysplastic Syndromes	1
474	hsa-mir-145	Nasopharyngeal Neoplasms	1
475	hsa-mir-145	Neuroblastoma	1
476	hsa-mir-145	Osteoarthritis	1
477	hsa-mir-145	Osteosarcoma	1
478	hsa-mir-145	Ovarian Neoplasms	1
479	hsa-mir-145	Pancreatic Neoplasms	1
480	hsa-mir-145	Pituitary Neoplasms	1
481	hsa-mir-145	Prostatic Neoplasms	1
482	hsa-mir-145	Reperfusion Injury	1
483	hsa-mir-145	Stroke	1
484	hsa-mir-145	Wounds and Injuries	1
485	hsa-mir-146a	Alzheimer Disease	1
486	hsa-mir-146a	Asthma	1
487	hsa-mir-146a	Atherosclerosis	1
488	hsa-mir-146a	Breast Neoplasms	1
489	hsa-mir-146a	Diabetes Mellitus	1
490	hsa-mir-146a	Diabetic Retinopathy	1
491	hsa-mir-146a	Glioblastoma	1
492	hsa-mir-146a	Gout	1
493	hsa-mir-146a	Heart Failure	1
494	hsa-mir-146a	HIV Infections	1
495	hsa-mir-146a	Inflammation	1
496	hsa-mir-146a	Leukemia	1
497	hsa-mir-146a	Liver Cirrhosis	1
498	hsa-mir-146a	Lymphoma	1
499	hsa-mir-146a	Melanoma	1
500	hsa-mir-146a	Multiple Myeloma	1
501	hsa-mir-146a	Osteoarthritis	1
502	hsa-mir-146a	Prostatic Neoplasms	1
503	hsa-mir-146a	Sepsis	1
504	hsa-mir-146a	Spinal Cord Injuries	1
505	hsa-mir-146a	Stomach Neoplasms	1
506	hsa-mir-146a	Stroke	1
507	hsa-mir-146a	Thyroid Neoplasms	1
508	hsa-mir-146b	Colorectal Neoplasms	1
509	hsa-mir-146b	Diabetes Mellitus	1
510	hsa-mir-146b	Esophageal Neoplasms	1
511	hsa-mir-146b	Glioma	1
512	hsa-mir-146b	Inflammation	1
513	hsa-mir-146b	Lung Neoplasms	1
514	hsa-mir-146b	Osteosarcoma	1
515	hsa-mir-146b	Pancreatic Neoplasms	1
516	hsa-mir-146b	Prostatic Neoplasms	1
517	hsa-mir-146b	Thyroid Neoplasms	1
518	hsa-mir-146b	Uterine Cervical Neoplasms	1
519	hsa-mir-148a	Breast Neoplasms	1
520	hsa-mir-148a	Cholangiocarcinoma	1
521	hsa-mir-148a	Colorectal Neoplasms	1
522	hsa-mir-148a	Endometrial Neoplasms	1
523	hsa-mir-148a	Glioblastoma	1
524	hsa-mir-148a	Inflammation	1
525	hsa-mir-148a	Lupus Nephritis	1
526	hsa-mir-148a	Melanoma	1
527	hsa-mir-148a	Multiple Myeloma	1
528	hsa-mir-148a	Neoplasms	1
529	hsa-mir-148a	Obesity	1
530	hsa-mir-148a	Ovarian Neoplasms	1
531	hsa-mir-148a	Prostatic Neoplasms	1
532	hsa-mir-148a	Stomach Neoplasms	1
533	hsa-mir-148a	Urinary Bladder Neoplasms	1
534	hsa-mir-148b	Breast Neoplasms	1
535	hsa-mir-148b	Colorectal Neoplasms	1
536	hsa-mir-148b	Endometrial Neoplasms	1
537	hsa-mir-148b	Kidney Neoplasms	1
538	hsa-mir-148b	Liver Neoplasms	1
539	hsa-mir-148b	Melanoma	1
540	hsa-mir-148b	Pancreatic Neoplasms	1
541	hsa-mir-148b	Reperfusion Injury	1
542	hsa-mir-148b	Uterine Cervical Neoplasms	1
543	hsa-mir-149	Breast Neoplasms	1
544	hsa-mir-149	Glioma	1
545	hsa-mir-149	Myocardial Infarction	1
546	hsa-mir-150	Breast Neoplasms	1
547	hsa-mir-150	Burkitt Lymphoma	1
548	hsa-mir-150	Cardiomegaly	1
549	hsa-mir-150	Colorectal Neoplasms	1
550	hsa-mir-150	Heart Diseases	1
551	hsa-mir-150	Inflammatory Bowel Diseases	1
552	hsa-mir-150	Leukemia	1
553	hsa-mir-150	Lung Neoplasms	1
554	hsa-mir-150	Lymphoma	1
555	hsa-mir-150	Melanoma	1
556	hsa-mir-150	Myocardial Infarction	1
557	hsa-mir-150	Neoplasms	1
558	hsa-mir-150	Obesity	1
559	hsa-mir-150	Osteoporosis	1
560	hsa-mir-150	Osteosarcoma	1
561	hsa-mir-150	Pancreatic Neoplasms	1
562	hsa-mir-150	Precursor Cell Lymphoblastic Leukemia-Lymphoma	1
563	hsa-mir-150	Prostatic Neoplasms	1
564	hsa-mir-150	Psoriasis	1
565	hsa-mir-150	Pulmonary Embolism	1
566	hsa-mir-150	Reperfusion Injury	1
567	hsa-mir-150	Sepsis	1
568	hsa-mir-150	Stomach Neoplasms	1
569	hsa-mir-150	Thyroid Neoplasms	1
570	hsa-mir-150	Uterine Cervical Neoplasms	1
571	hsa-mir-152	Atherosclerosis	1
572	hsa-mir-152	Breast Neoplasms	1
573	hsa-mir-152	Glioblastoma	1
574	hsa-mir-152	Glioma	1
575	hsa-mir-152	Neoplasms	1
576	hsa-mir-152	Osteosarcoma	1
577	hsa-mir-152	Ovarian Neoplasms	1
578	hsa-mir-152	Pancreatic Neoplasms	1
579	hsa-mir-152	Prostatic Neoplasms	1
580	hsa-mir-152	Stomach Neoplasms	1
581	hsa-mir-152	Uterine Cervical Neoplasms	1
582	hsa-mir-153	Breast Neoplasms	1
583	hsa-mir-153	Glioma	1
584	hsa-mir-153	Lung Neoplasms	1
585	hsa-mir-153	Osteosarcoma	1
586	hsa-mir-153	Stomach Neoplasms	1
587	hsa-mir-154	Glioblastoma	1
588	hsa-mir-154	Prostatic Neoplasms	1
589	hsa-mir-154	Stomach Neoplasms	1
590	hsa-mir-155	Acute Lung Injury	1
591	hsa-mir-155	Arthritis	1
